Date,SPI
1/29/2013,1.27
1/22/2013,1.01
1/15/2013,1.61
1/8/2013,0.66
1/1/2013,0.01
12/23/2012,0.07
12/16/2012,-1.01
12/9/2012,-2.41
12/2/2012,-1.88
11/25/2012,-2.21
11/18/2012,0.22
11/11/2012,0.2
11/4/2012,0.22
10/28/2012,0.59
10/21/2012,-0.55
10/14/2012,-0.69
10/7/2012,-0.25
9/30/2012,-0.61
9/23/2012,0.47
9/16/2012,0.89
9/9/2012,0.72
9/2/2012,0.57
8/26/2012,-0.41
8/19/2012,-0.54
8/12/2012,-0.63
8/5/2012,0.12
7/29/2012,0.63
7/22/2012,0.41
7/15/2012,0.52
7/8/2012,0.47
7/1/2012,0.05
6/24/2012,0
6/17/2012,0.18
6/10/2012,-1.04
6/3/2012,-0.97
5/27/2012,-0.33
5/20/2012,-0.3
5/13/2012,0.82
5/6/2012,0.6
4/29/2012,0.08
4/22/2012,-0.39
4/15/2012,-1.87
4/8/2012,-1.28
4/1/2012,-1.08
3/25/2012,-0.66
3/18/2012,-0.1
3/11/2012,0.37
3/4/2012,0.46
2/26/2012,0.32
2/19/2012,-0.2
2/12/2012,-0.81
2/5/2012,-0.93
1/29/2012,-0.37
1/22/2012,-0.91
1/15/2012,-1.22
1/8/2012,-0.43
1/1/2012,-1.52
12/24/2011,-0.49
12/17/2011,-0.37
12/10/2011,-0.47
12/3/2011,1.13
11/26/2011,0.88
11/19/2011,1.26
11/12/2011,0.96
11/5/2011,-0.07
10/29/2011,0.18
10/22/2011,-0.8
10/15/2011,0.29
10/8/2011,0.42
10/1/2011,0.11
9/24/2011,1.71
9/17/2011,2.19
9/10/2011,2.26
9/3/2011,2.11
8/27/2011,0.99
8/20/2011,-0.91
8/13/2011,-1.27
8/6/2011,-2.05
7/30/2011,-0.86
7/23/2011,-0.13
7/16/2011,0.33
7/9/2011,0.55
7/2/2011,0.29
6/25/2011,-0.08
6/18/2011,-0.96
6/11/2011,-1.41
6/4/2011,0.17
5/28/2011,0.01
5/21/2011,0.75
5/14/2011,1.24
5/7/2011,0.33
4/30/2011,0.59
4/23/2011,-0.07
4/16/2011,-0.62
4/9/2011,-0.8
4/2/2011,-0.65
3/26/2011,0.67
3/19/2011,1.2
3/12/2011,1.06
3/5/2011,0.71
2/26/2011,-0.8
2/19/2011,-1.62
2/12/2011,-0.43
2/5/2011,-0.13
1/29/2011,-0.22
1/22/2011,-0.29
1/15/2011,-1.27
1/8/2011,-1.31
1/1/2011,-0.48
12/24/2010,-0.57
12/17/2010,0.3
12/10/2010,0.2
12/3/2010,-0.28
11/26/2010,0.13
11/19/2010,-0.91
11/12/2010,-0.42
11/5/2010,0.09
10/29/2010,-0.19
10/22/2010,1.14
10/15/2010,1.69
10/8/2010,1.27
10/1/2010,1.25
9/24/2010,0
9/17/2010,-2.17
9/10/2010,-1.92
9/3/2010,-0.56
8/27/2010,-0.23
8/20/2010,0.08
8/13/2010,-0.07
8/6/2010,-0.68
7/30/2010,-1.02
7/23/2010,-1.61
7/16/2010,-1.08
7/9/2010,-1.6
7/2/2010,-2.33
6/25/2010,-1.88
6/18/2010,-1.83
6/11/2010,-1.45
6/4/2010,-0.56
5/28/2010,-0.25
5/21/2010,-0.53
5/14/2010,-0.38
5/7/2010,-0.73
4/30/2010,-0.89
4/23/2010,-0.99
4/16/2010,0.82
4/9/2010,0.62
4/2/2010,1.47
3/26/2010,1.38
3/19/2010,0.05
3/12/2010,0.17
3/5/2010,-2.05
2/26/2010,0.24
2/19/2010,0.68
2/12/2010,1.28
2/5/2010,1.73
1/29/2010,0.65
1/22/2010,0.16
1/15/2010,-0.13
1/8/2010,-0.35
1/1/2010,1.13
