STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,DAPR,MDPR,PRCP,TAVG,TMAX,TMIN,TOBS
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,9/13/2013,,,,0.69,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,9/16/2013,,3,0,,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,9/17/2013,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,9/18/2013,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,9/19/2013,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,9/20/2013,,,,0.07,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,9/21/2013,,,,0.31,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,9/22/2013,,,,0.68,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,9/23/2013,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,9/24/2013,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,9/25/2013,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,9/26/2013,,,,0.03,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,9/27/2013,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,9/30/2013,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,10/1/2013,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,10/3/2013,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,10/4/2013,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,10/8/2013,,,,0.71,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,10/9/2013,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,10/10/2013,,,,0.38,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,10/22/2013,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,10/23/2013,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,12/2/2013,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,12/3/2013,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,12/4/2013,,,,0.01,,,,
